"AveExpr"	"LogFC_MouseC2C12"	"FDR_MouseC2C12"	"LogFC_HumanCell"	"FDR_HumanCell"	"LogFC_mean"
"TCP1"	3.36332396929636	1.13316934966204	0.00466551598818593	3.34255825240959	5.2037564366024e-18	4.47572760207163
"PFN1"	3.35526739455127	-2.72571175645355	3.47363065171389e-19	-3.1111309733001	1.3736783313126e-28	-5.83684272975365
"AC093323.1"	3.35068881457467	1.25178035874047	0.000646066250956475	5.39025413089783	5.4726367778272e-30	6.6420344896383
"ASB5"	3.34144634941487	-3.43557482343006	1.06394159199451e-13	-2.58504022620616	5.26422073720917e-13	-6.02061504963621
"ENO3"	3.33983283576732	1.23432080640701	5.44842531983183e-05	2.55430427395248	9.588893341887e-15	3.7886250803595
"AABR07071244.1"	3.33114428633282	2.01824120505307	0.000229739206233673	1.29492463831633	0.0122191244399905	3.3131658433694
"COPB2"	3.33114428633282	2.01824120505307	0.000229739206233673	1.29492463831633	0.0122191244399905	3.3131658433694
"GM45713"	3.33066107792155	-1.38369113535249	0.00229426441296174	-1.98917139726341	5.35371041812987e-09	-3.3728625326159
"CCT4"	3.32738096702424	2.63902126881354	1.37011932108752e-15	1.00659932762858	7.70944745289392e-05	3.64562059644211
"H3F3B"	3.32016825942331	0.942618573225996	0.00512986283701094	2.8646513708377	6.53280531005535e-16	3.80726994406369
"HNRNPA0"	3.31346514468841	1.74967407714484	3.01537047696861e-20	2.59101110678831	9.58349887458213e-37	4.34068518393316
"EIF4A1"	3.29851807030875	2.49335175456765	5.18041628047681e-16	1.72428433481501	1.68782200694657e-11	4.21763608938265
"EIF4G2"	3.2889292852435	2.97386214334521	1.11844635804534e-10	2.38476184201362	2.97903906852035e-09	5.35862398535883
"AES"	3.28348134896917	-2.49686639067031	7.40990780158728e-06	-1.39556875465756	0.00651908407480585	-3.89243514532787
"RAD21"	3.27778644307367	1.26465254809926	4.70103231039802e-19	1.65605850063469	7.17832163188043e-29	2.92071104873394
"CAVIN3"	3.26406817156522	4.14946779151468	1.84275702847216e-35	2.89114911625266	2.55199675557735e-28	7.04061690776734
"ARPC3"	3.24566049489943	1.47328641506901	2.03111419450467e-13	2.34173481219279	8.35381696858538e-27	3.8150212272618
"UQCRFS1"	3.23372610070064	1.59209400273706	0.000566306778786281	2.1757620950564	1.3283100054104e-08	3.76785609779346
"ATP5F1"	3.23224434600309	0.751685278727238	0.0412806655275839	4.24209276315828	4.63222670498926e-25	4.99377804188552
"ATP5PB"	3.23224434600309	0.751685278727238	0.0412806655275839	4.24209276315828	4.63222670498926e-25	4.99377804188552
"HIST1H1C"	3.22525231840117	1.41590960006374	3.40045600787125e-05	3.48112127315221	1.4963958636242e-20	4.89703087321595
