"AveExpr"	"LogFC_RatL6"	"FDR_RatL6"	"LogFC_HumanCell"	"FDR_HumanCell"	"LogFC_mean"
"FAT1"	3.70175862509797	-1.70585282764967	5.75921064632676e-14	-1.55480985297863	3.59770108948646e-12	-3.2606626806283
"CTSA"	3.69085174989759	-2.2103742788661	4.0347819909989e-10	-3.15033364390148	6.92929213019946e-16	-5.36070792276758
"ILK"	3.68387654460565	-2.06365143809711	2.81610287900247e-18	-1.0336460094677	5.09355027055503e-07	-3.09729744756482
"RPN2"	3.67657931568599	-1.18018646622303	1.72632990156855e-16	-1.85714921235399	4.36612140816847e-27	-3.03733567857703
"ATP6V1G1"	3.66104956214412	1.37846235177144	0.000317401710245569	2.04412034818924	3.4572937273315e-18	3.42258269996069
"ARPC1B"	3.64401913954839	-2.44638445038196	3.37502681202099e-13	-1.57071971536963	8.29010623587472e-07	-4.01710416575159
"SDCBP"	3.63851456985879	-5.03656948592303	9.06467821819811e-28	-3.95856958139844	5.49061591573761e-21	-8.99513906732147
"PPP1R14B"	3.60516982919607	-3.22404564475002	2.45762276771416e-15	-2.39850823511798	4.49734016428494e-10	-5.622553879868
"NEDD8"	3.5826999254546	-3.30856762607042	1.52350941044242e-39	-2.08935203538499	2.46214400378383e-25	-5.39791966145541
"NPM1"	3.58035029241132	-1.93544698104923	2.9559564335204e-12	-1.8701958342359	1.97592291898396e-11	-3.80564281528513
"PEBP1"	3.56297378501927	-3.38190963898398	3.97115780414127e-09	-3.26750517887672	1.49062225989697e-08	-6.64941481786069
"VCP"	3.55292996187206	-2.51969903855584	6.32831838165471e-11	-1.54209655042391	2.44121728596174e-05	-4.06179558897975
"LHFP"	3.54586851557253	-1.38294182593818	1.23040166179192e-18	-2.10838999321937	1.21944920436976e-28	-3.49133181915755
"LHFPL6"	3.54586851557253	-1.38294182593818	1.23040166179192e-18	-2.10838999321937	1.21944920436976e-28	-3.49133181915755
"BTG1"	3.53299357973473	-3.87915653228972	1.00160821375633e-25	-1.63259581843663	2.04443888586769e-08	-5.51175235072635
"UBE2D3"	3.50750142405457	-1.84869233640656	6.63292033780064e-06	-1.85638603241073	1.85768909167203e-05	-3.70507836881728
"TRMT112"	3.49256630573459	-1.69057706272403	6.78993213854599e-07	-1.86318969366366	9.09303268554334e-08	-3.55376675638769
"ST13"	3.48560393128966	-1.96536518237959	7.20201341523123e-21	-1.65625185963702	4.89658473054293e-17	-3.62161704201662
"EMC7"	3.48108294537095	-2.87743235721964	1.32854309886519e-22	-2.39079694386619	4.90708043653998e-18	-5.26822930108583
"ACO2"	3.43295942311696	1.00944626468579	1.57346915372361e-16	2.36160950216117	4.22336676589755e-39	3.37105576684696
"AXL"	3.42050317055373	-2.66501895736933	1.77774043222274e-10	-1.25146656387196	0.00140092641104849	-3.91648552124129
"NQO1"	3.37070324282284	-6.5369530097684	6.23023544432387e-40	-4.97144391291347	7.1455474604878e-31	-11.5083969226819
"GADD45A"	3.3569079213378	1.02040210390714	0.00143870524741977	2.47467564136792	5.93176911308395e-12	3.49507774527506
"ITGA7"	3.35299140788535	0.956181024325851	5.6694558658448e-05	2.22374443655266	1.23706502437455e-15	3.17992546087851
"ASB5"	3.34144634941487	3.43557482343006	1.06394159199451e-13	0.850534597223902	0.0360620888769177	4.28610942065396
"EDF1"	3.33576709905164	-1.35178961104223	2.2422582074047e-06	-1.91322756296497	3.47087008419329e-10	-3.2650171740072
"DAP"	3.33427512181292	1.97719833928458	3.33940874613464e-15	2.00476160605267	1.80932549851952e-15	3.98195994533725
"CCT4"	3.32738096702424	-2.63902126881354	1.37011932108752e-15	-1.63242194118496	6.6005766059479e-08	-4.2714432099985
"MSMO1"	3.30709011192085	-3.37311907043737	3.32519482144485e-23	-3.39299075398343	7.04889175368547e-23	-6.7661098244208
"PABPC1"	3.29445858350617	-3.00506016015258	9.12956188903329e-16	-4.73998012788557	3.48028914554076e-26	-7.74504028803815
"TALDO1"	3.29415968226252	-1.82720845883851	6.59478497514492e-19	-1.80129675631995	1.42677052311038e-18	-3.62850521515846
"TMEM59"	3.29082968311344	-1.82289074257587	0.000886111949124927	-1.15545964566121	0.0330740915593927	-2.97835038823708
"AES"	3.28348134896917	2.49686639067031	7.40990780158728e-06	1.10129763601275	1.01090991090506e-05	3.59816402668307
"SLC3A2"	3.27700632582933	1.68654905619802	3.97528495756798e-10	2.23156860045229	1.90145987174031e-14	3.9181176566503
