"AveExpr"	"LogFC_MouseC2C12"	"FDR_MouseC2C12"	"LogFC_RatL6"	"FDR_RatL6"	"LogFC_mean"
"COX7A2L2"	3.95546738172661	-1.85321329439226	6.89985071154607e-09	-2.73767761390824	2.4257060985426e-17	-4.5908909083005
"MRFAP1"	3.93062443438307	-2.52552782956525	7.80578193093417e-12	-3.77730818830572	3.98113647294028e-23	-6.30283601787097
"TNNC2"	3.91338129179734	-4.55448414636382	8.10392437015404e-18	-4.08073535272018	3.66791009565215e-21	-8.635219499084
"AABR07060778.1"	3.9080084019425	-2.40133524579701	6.83714295193294e-09	-2.57938605537864	7.60404223590462e-12	-4.98072130117565
"HINT1"	3.9080084019425	-2.40133524579701	6.83714295193294e-09	-2.57938605537864	7.60404223590462e-12	-4.98072130117565
"COX4I1"	3.89239963814429	-2.94446166503551	1.39005751884277e-17	-3.13922637866864	3.45249973459883e-25	-6.08368804370415
"COX5A"	3.88627523096145	-1.43236822811363	1.31214910590925e-06	-1.91999139380099	1.53215917651444e-13	-3.35235962191462
"HSPD1"	3.88119488219526	-1.30755184328422	4.30742576687074e-11	-1.9335894069654	5.71408898142573e-21	-3.24114125024962
"MRFAP1L1"	3.86287127587072	-2.71396630167774	3.63399203826034e-13	-3.9657466604182	1.34873111514086e-24	-6.67971296209594
"AC068580.4"	3.8589784156914	-3.09475736103286	9.39977680706919e-20	-1.83379514943149	4.60079107772606e-12	-4.92855251046435
"CCT5"	3.81717652426477	-1.72680682835137	1.39061594291837e-15	-1.45827041134577	6.13961432759835e-15	-3.18507723969714
"PSMB1"	3.77627922122247	-1.06434188672078	0.00042640100337667	-1.87915233585092	5.8320023535385e-11	-2.9434942225717
"ATP6V0E"	3.75138365910642	1.34935397904529	7.56419394386818e-09	2.2395761617798	1.62877640048208e-20	3.58893014082508
"ATP6V0E1"	3.75138365910642	1.34935397904529	7.56419394386818e-09	2.2395761617798	1.62877640048208e-20	3.58893014082508
"RAB7"	3.73632168562549	2.34833228039346	1.08394165129526e-11	2.02825965284321	1.65416275963052e-11	4.37659193323667
"RAB7A"	3.73632168562549	2.34833228039346	1.08394165129526e-11	2.02825965284321	1.65416275963052e-11	4.37659193323667
"MORF4L2"	3.72718934953023	-2.24035124473701	3.06889133842991e-09	-2.95085440524792	1.48311768287482e-15	-5.19120564998492
"ARHGDIA"	3.72632737570722	-2.55586116923014	1.16976504825209e-21	-2.57629465115544	1.95523475630724e-25	-5.13215582038558
"CTSA"	3.69085174989759	3.15033364390148	6.92929213019946e-16	0.939959365035385	0.00123072462427001	4.09029300893687
"CCNI"	3.68818103259585	2.55106825867273	1.15023807386509e-13	2.01947141601822	5.5372726223423e-12	4.57053967469095
"ATP1B3"	3.65556411833283	-2.48717896487309	5.01990489844083e-27	-3.70944194513475	1.4011239678258e-43	-6.19662091000784
"UQCRHL"	3.63253266469692	-1.89004183681536	4.49573034678211e-05	-2.03294251091019	8.48138703600357e-07	-3.92298434772555
"TSPAN3"	3.62960104679429	-1.44121583650444	4.15538909278231e-05	-1.92080956475905	6.84934827805988e-11	-3.36202540126349
"CNN2"	3.5887847866832	1.20853748365876	8.17250370481606e-05	4.01717612609064	1.66420419525735e-08	5.2257136097494
"CALR"	3.58163334496742	2.4549834739514	2.51886704641578e-05	1.38846619964042	0.00533590387185926	3.84344967359182
"TUBB2A"	3.57192700433324	-2.26634594701324	2.79229642002587e-11	-3.33565047347624	7.8645480483796e-22	-5.60199642048948
"EEF1B2"	3.57107402335589	-2.95486318997491	0.000961356140307752	-4.35510326433842	4.12393872637839e-09	-7.30996645431333
"SDC2"	3.54867701183033	-1.6105562942072	1.03736217054743e-19	-2.14304369833381	5.45179135830545e-31	-3.75359999254101
"ATP5D"	3.53998575428756	-2.16835243696503	5.52811807527938e-12	-2.32630032885128	4.01798355011624e-18	-4.49465276581631
"ATP5F1D"	3.53998575428756	-2.16835243696503	5.52811807527938e-12	-2.32630032885128	4.01798355011624e-18	-4.49465276581631
"CHCHD2"	3.53185362381182	-1.48647644714313	0.000907085352060568	-2.96161763131806	2.85469511983168e-13	-4.44809407846119
"PSMC3"	3.50796182822561	-1.55519427241007	9.7086259215943e-10	-2.12521255794057	1.22015263755096e-17	-3.68040683035063
"CYC1"	3.50670136437251	-2.35227729915772	8.34470288335869e-18	-2.41249982558801	1.40646035256835e-21	-4.76477712474574
"NDUFA1"	3.48414104658905	-2.15000161016882	7.6120797458091e-06	-2.79685057739774	5.23964279496047e-12	-4.94685218756656
"ELOB"	3.46835789544219	-3.07445611854829	3.27507586762759e-10	-2.332311880185	2.28378218501772e-08	-5.40676799873329
"UQCRH"	3.46711642842173	-2.35010574395572	5.42322559689765e-06	-2.49300641805055	6.91754903071276e-08	-4.84311216200627
"PDLIM1"	3.46073543882078	-1.06963625797274	8.21390496382748e-06	-3.21608395498031	2.35730911282559e-28	-4.28572021295305
"IGFBP6"	3.45158040872467	-0.957233326051444	1.63219606792136e-06	-2.20439019792551	2.71991509292955e-23	-3.16162352397696
"TXNIP"	3.45006448263273	1.95362933715428	1.41479615838045e-08	1.38027416992026	2.42968736412014e-06	3.33390350707454
"LMAN2"	3.4399676430414	1.6334729114273	2.38804548393518e-10	1.65423223943657	1.16128804194146e-12	3.28770515086387
"ACO2"	3.43295942311696	-2.36160950216117	4.22336676589755e-39	-1.35216323747538	2.9121477356321e-26	-3.71377273963655
"CLPTM1L"	3.42454071776895	-1.50108009054511	4.0018451706066e-18	-2.2970983175527	4.45973896619993e-33	-3.79817840809781
"ATP5G3"	3.4244681533543	-4.5484846310071	1.12713120140315e-12	-4.75859327379245	1.68943397476846e-18	-9.30707790479955
"ATP5MC3"	3.4244681533543	-4.5484846310071	1.12713120140315e-12	-4.75859327379245	1.68943397476846e-18	-9.30707790479955
"ATP5L"	3.41750479384931	-3.09145939794379	1.22451382536546e-12	-3.60692018463571	2.44562772464572e-18	-6.6983795825795
"ATP5MG"	3.41750479384931	-3.09145939794379	1.22451382536546e-12	-3.60692018463571	2.44562772464572e-18	-6.6983795825795
"NDUFA4"	3.41130286792948	-3.17704152696602	4.13025180772757e-07	-3.14890187705699	4.78671039743007e-10	-6.32594340402301
"TSPO"	3.38269418883135	-2.00927298673793	3.47001017480145e-11	-1.20708908665444	1.34477451870048e-06	-3.21636207339237
"RHOB"	3.37770712885628	-2.62504821187121	1.58602302231202e-10	-2.16686076708868	1.01503303872925e-09	-4.79190897895989
"CLIC4"	3.37105672326139	1.5237470782136	6.33279152008557e-10	4.58077086440045	7.42167396188027e-40	6.10451794261405
"TCP1"	3.36332396929636	-2.20938890274755	2.05274328507552e-07	-3.34255825240959	5.2037564366024e-18	-5.55194715515714
"GNB1"	3.36089878141467	2.35367924079866	1.10333727555242e-13	1.77814768446762	2.94419921528615e-11	4.13182692526628
"GADD45A"	3.3569079213378	-2.47467564136792	5.93176911308395e-12	-1.45427353746078	7.49092648777049e-07	-3.92894917882869
"FSTL1"	3.35479476359008	1.72086807388584	0.000191319976471208	1.1720285149284	0.00328547827571093	2.89289658881425
"ITGA7"	3.35299140788535	-2.22374443655266	1.23706502437455e-15	-1.26756341222681	9.00270221934946e-09	-3.49130784877946
"AC093323.1"	3.35068881457467	-4.13847377215736	2.06017555276121e-19	-5.39025413089783	5.4726367778272e-30	-9.52872790305519
"NDUFV1"	3.34217080211832	-1.55387890362825	4.24046848023351e-16	-1.30069997459815	2.88837056792043e-15	-2.85457887822641
"ENO3"	3.33983283576732	-1.31998346754547	4.86701292670502e-05	-2.55430427395248	9.588893341887e-15	-3.87428774149795
"PSMA2"	3.33043676297754	-1.75217110349274	5.39098567640317e-19	-1.60649919566296	1.18588811991356e-19	-3.3586702991557
"ANAPC5"	3.32893054299478	-2.30450791931224	1.99397502143413e-23	-2.6482578358108	3.90122361602016e-31	-4.95276575512304
"H3F3B"	3.32016825942331	-1.9220327976117	5.80360229288689e-08	-2.8646513708377	6.53280531005535e-16	-4.7866841684494
"HNRNPA0"	3.31346514468841	-0.841337029643469	5.84486975420429e-08	-2.59101110678831	9.58349887458213e-37	-3.43234813643178
"SERINC1"	3.31058768947824	1.90763513542436	0.00273428362027199	2.73255790305693	0.0438592849532562	4.6401930384813
"DYNLT1B"	3.29988027188425	-2.28160138374231	9.04583086809048e-17	-1.49656547379018	1.13859343924463e-13	-3.7781668575325
"TNNI2"	3.29707970122801	-2.34867073378927	1.30276445470567e-05	-2.44734914639943	3.37025222846748e-07	-4.7960198801887
"PABPC1"	3.29445858350617	4.73998012788557	3.48028914554076e-26	1.734919967733	8.63181223171415e-09	6.47490009561857
"KIF5B"	3.28540041371437	2.42318881503339	5.03112174499137e-10	2.43154343902274	3.98508803747027e-12	4.85473225405613
"THBS2"	3.27945396823891	2.94661733909386	2.3844279514708e-14	2.50368630721479	7.55024580516999e-14	5.45030364630865
"PMP22"	3.26066050295946	1.67583242174438	2.18551680778252e-13	1.53634656452511	2.81824715413674e-14	3.21217898626949
"ARPC3"	3.24566049489943	-0.868448397123788	2.85588682217659e-06	-2.34173481219279	8.35381696858538e-27	-3.21018320931658
"NEDD4"	3.24282534259116	-3.24338983835144	1.07122292893788e-30	-2.53610078081196	1.15680646743175e-27	-5.7794906191634
"APEX1"	3.2384000171549	2.15341603525813	2.91092722899962e-21	1.7378942367124	1.9510189924942e-19	3.89131027197053
"MDH1"	3.23708434710807	-2.78176568137671	2.68507506582733e-27	-2.52599682995927	4.32414455877351e-31	-5.30776251133598
"ATP5F1"	3.23224434600309	-3.49040748443104	1.94531823087803e-15	-4.24209276315828	4.63222670498926e-25	-7.73250024758932
"ATP5PB"	3.23224434600309	-3.49040748443104	1.94531823087803e-15	-4.24209276315828	4.63222670498926e-25	-7.73250024758932
"HIST1H1C"	3.22525231840117	-2.06521167308847	1.12228693859758e-08	-3.48112127315221	1.4963958636242e-20	-5.54633294624067
